NACA 63-221
4.733052000000000092e-02 5.355834000000000289e-02
3.644806999999999908e-02 4.697420000000000068e-02
2.690404999999999880e-02 4.037040000000000073e-02
1.871708000000000052e-02 3.385293000000000330e-02
1.197579000000000005e-02 2.745142000000000068e-02
6.792659999999999844e-03 2.121912000000000104e-02
3.179089999999999867e-03 1.534419000000000061e-02
1.006640000000000052e-03 1.010402999999999996e-02
5.949999999999999784e-06 5.782419999999999921e-03
-2.267199999999999977e-04 2.601619999999999801e-03
9.590999999999999482e-05 -5.444399999999999847e-04
1.090529999999999928e-03 -4.835179999999999687e-03
3.167890000000000029e-03 -1.006657000000000038e-02
6.772280000000000313e-03 -1.588287000000000032e-02
1.206517000000000006e-02 -2.193805000000000061e-02
1.904128000000000071e-02 -2.797260000000000024e-02
2.755184999999999926e-02 -3.392219999999999958e-02
3.743925000000000031e-02 -3.982929999999999804e-02
4.864161000000000179e-02 -4.564601000000000075e-02
6.113615000000000022e-02 -5.125789000000000040e-02
7.487306000000000517e-02 -5.659937999999999775e-02
8.977746000000000337e-02 -6.167609000000000286e-02
1.057841300000000040e-01 -6.648585999999999385e-02
1.228347199999999945e-01 -7.101467999999999670e-02
1.408725999999999867e-01 -7.524585999999999775e-02
1.598428699999999980e-01 -7.915400000000000214e-02
1.796915500000000054e-01 -8.270093000000000583e-02
2.003622100000000128e-01 -8.585046000000000344e-02
2.217945000000000055e-01 -8.857636000000000676e-02
2.439259000000000011e-01 -9.085885000000000489e-02
2.666918699999999975e-01 -9.268563000000000496e-02
2.900299599999999756e-01 -9.398934000000000455e-02
3.138722999999999930e-01 -9.472126999999999630e-02
3.381475299999999740e-01 -9.482411999999999785e-02
3.627802299999999813e-01 -9.427090999999999943e-02
3.876949599999999774e-01 -9.307925000000000226e-02
4.128167200000000259e-01 -9.125796999999999382e-02
4.380738800000000266e-01 -8.885221000000000091e-02
4.634005700000000116e-01 -8.593368999999999314e-02
4.887315199999999749e-01 -8.255073000000000272e-02
5.140061999999999687e-01 -7.876991999999999328e-02
5.391667500000000279e-01 -7.465702000000000449e-02
5.641564599999999707e-01 -7.027068999999999677e-02
5.889207400000000536e-01 -6.566980000000000040e-02
6.134046399999999455e-01 -6.090196999999999972e-02
6.375563600000000442e-01 -5.602316000000000240e-02
6.613288400000000289e-01 -5.110400999999999833e-02
6.846740399999999838e-01 -4.620239000000000290e-02
7.075452399999999642e-01 -4.137539999999999968e-02
7.298938400000000160e-01 -3.666500000000000314e-02
7.516751000000000404e-01 -3.212554000000000104e-02
7.728424000000000404e-01 -2.779649000000000009e-02
7.933508799999999805e-01 -2.372012999999999899e-02
8.131560500000000191e-01 -1.993496999999999977e-02
8.322107600000000494e-01 -1.645939999999999903e-02
8.504693800000000525e-01 -1.331143000000000083e-02
8.678847699999999721e-01 -1.049055999999999947e-02
8.844149799999999617e-01 -8.016429999999999736e-03
9.000158400000000114e-01 -5.882720000000000136e-03
9.146450499999999595e-01 -4.078870000000000065e-03
9.282649400000000384e-01 -2.613630000000000033e-03
9.408359699999999659e-01 -1.458389999999999947e-03
9.523222199999999971e-01 -5.876600000000000486e-04
9.626912800000000381e-01 1.764000000000000051e-05
9.719128700000000398e-01 3.936200000000000159e-04
9.799604499999999829e-01 5.734899999999999590e-04
9.868109900000000545e-01 5.903599999999999516e-04
9.924449800000000321e-01 4.790300000000000265e-04
9.968463899999999711e-01 2.774100000000000155e-04
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
